NoseX,NoseY,NeckX,NeckY,RShoulderX,RShoulderY,RElbowX,RElbowY,RWristX,RWristY,LShoulderLElbowX,LShoulderLElbowY,LWristX,LWristY,RHipX,RHipY,RKneeX,RKneeY,RAnkleX,RAnkleY,LHipX,LHipY,LKneeX,LKneeY,LAnkleX,LAnkleY,REyeX,REyeY,LEyeX,LEyeY,REarX,REarY,LEarX,LEarY,BackgroundX,BackgroundY
0.6195652,0.28804347,0.6467391,0.38043478,0.6032609,0.38043478,0.5543478,0.4293478,0.48913044,0.45652175,0.6902174,0.38043478,0.7554348,0.4456522,0.7826087,0.48369566,0.625,0.5597826,0.6304348,0.7282609,0.6467391,0.9076087,0.66847825,0.5706522,0.6576087,0.7336956,0.66847825,0.9130435,0.61413044,0.2771739,0.63586956,0.2826087,0.0,0.0,0.6630435,0.29891303
0.6576087,0.2826087,0.67391306,0.38043478,0.6195652,0.38586956,0.59782606,0.49456522,0.58152175,0.5652174,0.72282606,0.375,0.7336956,0.5054348,0.7282609,0.5706522,0.6195652,0.5597826,0.6304348,0.7336956,0.6195652,0.8913044,0.6956522,0.5652174,0.67391306,0.7336956,0.6793478,0.90217394,0.6467391,0.26630434,0.66847825,0.26630434,0.63586956,0.2771739,0.6902174,0.2771739
0.63586956,0.45652175,0.63586956,0.52717394,0.5869565,0.5326087,0.5869565,0.6304348,0.6195652,0.5923913,0.6902174,0.52717394,0.70108694,0.63586956,0.6413044,0.58152175,0.57608694,0.6576087,0.5326087,0.7826087,0.54891306,0.9076087,0.6630435,0.6793478,0.70108694,0.75,0.70108694,0.8913044,0.625,0.4456522,0.6467391,0.4456522,0.61413044,0.45108697,0.6630435,0.45652175
0.63586956,0.45652175,0.6413044,0.5217391,0.5923913,0.5217391,0.58152175,0.625,0.6195652,0.5869565,0.6902174,0.5217391,0.70108694,0.6304348,0.6467391,0.57608694,0.58152175,0.65217394,0.5326087,0.7826087,0.54891306,0.9076087,0.67391306,0.66847825,0.7119565,0.7717391,0.70108694,0.8967391,0.625,0.4456522,0.6467391,0.4456522,0.61413044,0.45652175,0.66847825,0.45652175
0.61413044,0.2826087,0.6195652,0.375,0.5706522,0.375,0.5706522,0.4728261,0.6195652,0.36956522,0.67391306,0.36413044,0.6847826,0.4673913,0.6304348,0.38586956,0.5869565,0.5706522,0.57608694,0.7445652,0.5543478,0.9076087,0.6576087,0.58152175,0.6630435,0.7554348,0.6956522,0.91847825,0.59782606,0.27173913,0.625,0.27173913,0.5869565,0.2826087,0.6467391,0.2771739
0.65217394,0.27173913,0.6576087,0.36956522,0.6032609,0.36956522,0.6032609,0.4673913,0.6467391,0.38586956,0.7119565,0.36413044,0.7336956,0.4673913,0.66847825,0.36956522,0.6086956,0.5652174,0.5597826,0.7336956,0.6467391,0.90217394,0.6847826,0.58152175,0.66847825,0.7336956,0.65217394,0.90217394,0.6413044,0.26086956,0.66847825,0.26630434,0.625,0.27173913,0.6847826,0.27173913
0.67391306,0.2771739,0.66847825,0.375,0.6195652,0.36956522,0.61413044,0.46195653,0.66847825,0.36956522,0.72282606,0.375,0.7282609,0.47826087,0.6847826,0.36956522,0.61413044,0.5706522,0.5652174,0.73913044,0.63586956,0.8043478,0.6902174,0.5869565,0.66847825,0.7445652,0.66847825,0.8913044,0.6576087,0.26086956,0.6847826,0.26630434,0.6413044,0.27173913,0.70108694,0.2771739
0.67391306,0.26630434,0.6793478,0.36956522,0.6086956,0.36413044,0.5163044,0.36956522,0.45652175,0.36956522,0.73913044,0.36956522,0.83152175,0.4076087,0.875,0.4347826,0.6195652,0.5380435,0.5163044,0.63586956,0.4021739,0.7880435,0.6847826,0.5652174,0.6576087,0.7554348,0.6467391,0.92391306,0.6576087,0.25543478,0.6847826,0.25,0.6467391,0.27173913,0.70652175,0.26630434
0.6086956,0.27173913,0.6304348,0.3478261,0.58152175,0.3478261,0.5217391,0.24456522,0.46195653,0.20108695,0.6847826,0.33695653,0.75,0.25543478,0.8097826,0.14673913,0.5923913,0.58152175,0.6086956,0.7663044,0.625,0.9402174,0.6576087,0.5869565,0.63586956,0.7663044,0.6304348,0.9402174,0.59782606,0.26630434,0.6195652,0.26086956,0.58152175,0.2771739,0.63586956,0.26086956
0.6032609,0.2771739,0.625,0.3478261,0.5706522,0.35326087,0.5163044,0.2771739,0.0,0.0,0.6793478,0.33695653,0.73913044,0.25,0.0,0.0,0.5869565,0.57608694,0.59782606,0.76086956,0.61413044,0.9402174,0.6576087,0.58152175,0.6413044,0.7663044,0.63586956,0.9347826,0.5869565,0.26630434,0.6086956,0.26086956,0.57608694,0.2826087,0.6304348,0.26086956
0.6195652,0.41304347,0.65217394,0.48913044,0.6086956,0.5326087,0.61413044,0.6630435,0.58152175,0.75,0.6902174,0.4402174,0.70652175,0.36956522,0.6793478,0.29891303,0.65217394,0.6793478,0.6032609,0.6793478,0.5652174,0.8043478,0.7282609,0.67391306,0.76086956,0.79347825,0.73913044,0.92391306,0.6032609,0.4076087,0.6304348,0.39673913,0.5923913,0.41847825,0.65217394,0.39673913
0.6086956,0.3043478,0.6304348,0.41847825,0.5706522,0.4347826,0.5652174,0.54891306,0.5597826,0.65217394,0.6902174,0.38586956,0.7282609,0.51086956,0.7554348,0.5923913,0.61413044,0.5923913,0.58152175,0.72282606,0.5923913,0.9076087,0.6956522,0.5923913,0.7119565,0.75,0.7336956,0.8967391,0.5923913,0.29347825,0.6195652,0.29347825,0.5869565,0.3097826,0.6467391,0.29891303
0.625,0.29891303,0.6467391,0.36413044,0.5923913,0.36956522,0.52717394,0.4076087,0.4728261,0.41847825,0.6956522,0.35869566,0.6847826,0.48369566,0.6304348,0.57608694,0.6032609,0.5869565,0.5923913,0.61413044,0.61413044,0.90217394,0.66847825,0.59782606,0.66847825,0.76086956,0.6630435,0.8967391,0.61413044,0.28804347,0.63586956,0.2826087,0.0,0.0,0.6630435,0.2771739
0.6195652,0.2771739,0.6195652,0.375,0.5597826,0.375,0.5326087,0.48369566,0.5380435,0.54891306,0.6793478,0.375,0.7119565,0.48369566,0.70108694,0.5597826,0.5706522,0.5652174,0.58152175,0.75,0.5652174,0.9130435,0.6576087,0.5652174,0.6467391,0.76086956,0.6467391,0.9130435,0.6086956,0.26630434,0.6304348,0.26630434,0.5923913,0.2771739,0.65217394,0.2771739
0.61413044,0.2771739,0.6195652,0.375,0.5597826,0.38043478,0.5380435,0.49456522,0.52717394,0.57608694,0.67391306,0.375,0.6902174,0.51086956,0.6793478,0.5706522,0.5652174,0.5869565,0.57608694,0.7554348,0.5597826,0.92391306,0.65217394,0.5923913,0.6413044,0.7554348,0.6576087,0.91847825,0.6032609,0.26630434,0.625,0.26630434,0.5869565,0.2771739,0.6467391,0.2771739
0.59782606,0.29891303,0.57608694,0.375,0.5217391,0.38043478,0.51086956,0.48369566,0.4673913,0.5054348,0.625,0.35869566,0.66847825,0.45108697,0.73913044,0.4673913,0.54891306,0.57608694,0.5652174,0.75,0.5652174,0.92391306,0.625,0.57608694,0.6630435,0.7554348,0.67391306,0.8913044,0.5869565,0.2826087,0.6032609,0.2826087,0.5543478,0.28804347,0.0,0.0
0.6902174,0.29347825,0.70108694,0.4021739,0.6576087,0.39130434,0.6086956,0.45108697,0.51086956,0.4456522,0.7445652,0.4076087,0.70108694,0.54347825,0.6413044,0.5326087,0.6304348,0.6032609,0.6086956,0.77717394,0.54347825,0.9293478,0.67391306,0.6086956,0.65217394,0.7880435,0.6956522,0.95652175,0.6793478,0.2826087,0.70652175,0.2771739,0.67391306,0.29891303,0.7336956,0.29347825
0.625,0.3206522,0.65217394,0.39673913,0.65217394,0.39130434,0.59782606,0.48913044,0.0,0.0,0.66847825,0.39673913,0.6467391,0.5217391,0.5923913,0.48913044,0.59782606,0.58152175,0.59782606,0.6793478,0.0,0.0,0.625,0.5869565,0.59782606,0.6847826,0.6467391,0.92391306,0.61413044,0.3097826,0.63586956,0.3043478,0.0,0.0,0.66847825,0.3097826
0.49456522,0.35869566,0.52717394,0.4347826,0.51086956,0.4293478,0.0,0.0,0.0,0.0,0.5543478,0.4402174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48913044,0.3478261,0.51086956,0.3478261,0.0,0.0,0.5380435,0.36413044
0.61413044,0.2771739,0.6304348,0.36956522,0.57608694,0.375,0.5597826,0.47826087,0.5380435,0.5543478,0.6847826,0.36956522,0.6956522,0.49456522,0.6956522,0.5652174,0.57608694,0.5706522,0.5923913,0.75,0.5869565,0.9130435,0.6576087,0.57608694,0.6413044,0.7554348,0.6630435,0.9076087,0.6086956,0.26630434,0.6304348,0.26630434,0.6032609,0.2826087,0.65217394,0.2771739
0.6576087,0.20108695,0.70108694,0.3152174,0.67391306,0.3152174,0.0,0.0,0.0,0.0,0.7336956,0.3097826,0.75,0.49456522,0.6956522,0.63586956,0.65217394,0.625,0.6902174,0.8097826,0.6847826,0.95652175,0.6902174,0.6304348,0.6793478,0.8043478,0.6793478,0.95652175,0.6413044,0.18478261,0.66847825,0.17934783,0.0,0.0,0.70108694,0.19021739
